account_name,month,tons,net_sales,avg6m_tons,avg6m_sales,gap_days,median_gap,alert_tier,growth_tier,tier_label,buyer_type
HERNCO FABRICATION & SERVICES,2024-06-01,15.9,62030.0,38.21666666666667,110978.0,31.0,31.0,Black,,Black,regular
ABRASIVE BLAST SYSTEMS,2024-06-01,15.9,13696.0,27.75,28409.333333333332,31.0,31.0,Black,,Black,regular
EDGE FABRICATION,2023-11-01,15.4,19128.0,27.016666666666666,43958.5,31.0,31.0,Black,,Black,regular
LUNN MOTORSPORTS,2025-05-01,15.3,17241.0,30.71666666666667,34441.833333333336,30.0,31.0,Black,,Black,regular
WRICO STAMPING CO OF TEXAS,2025-01-01,15.1,30213.0,30.21666666666667,48894.833333333336,31.0,31.0,Black,,Black,regular
TELECOM PRODUCTS INC,2023-07-01,14.899999999999999,15287.0,32.65,38506.5,30.0,31.0,Black,,Black,regular
INNOVATIVE MACHINE & LASER LLC,2025-05-01,14.799999999999999,23262.0,32.25,62867.166666666664,30.0,31.0,Black,,Black,regular
SCOOR HOLDINGS LLC,2023-10-01,14.6,15232.0,30.4,34472.5,61.0,31.0,Black,,Black,regular
M & M PRECISION METAL FAB,2024-09-01,14.5,13737.0,18.916666666666668,27837.833333333332,31.0,31.0,Black,,Black,regular
LUNN MOTORSPORTS,2024-11-01,14.100000000000001,11479.0,37.2,41985.666666666664,31.0,31.0,Black,,Black,regular
R-5 METAL FABRICATORS,2024-04-01,13.8,17828.0,38.35,46810.0,31.0,31.0,Black,,Black,regular
R-5 METAL FABRICATORS,2025-06-01,13.799999999999999,15523.0,53.23333333333333,60646.833333333336,31.0,31.0,Black,,Black,regular
WICHITA TANK MFG INC,2024-06-01,13.6,53362.0,32.266666666666666,73075.33333333333,31.0,31.0,Black,,Black,regular
EDGE FABRICATION,2024-10-01,13.5,17628.0,22.5,40479.166666666664,30.0,31.0,Black,,Black,regular
THE BIONIC WELDER LLC,2025-05-01,13.200000000000001,14216.0,31.599999999999998,31204.0,30.0,31.0,Black,,Black,regular
MOFFITT WEST LLC,2024-05-01,13.1,60352.0,40.699999999999996,143875.33333333334,30.0,31.0,Black,,Black,regular
EXM USA INC.,2025-02-01,12.8,13446.0,18.233333333333334,37980.333333333336,31.0,31.0,Black,,Black,regular
METAL SOURCE PLUS,2025-06-01,12.7,16211.0,32.11666666666667,48326.5,31.0,61.0,Black,,Black,sporadic
"NATURAL GAS FUEL SYSTEMS, INC  MOMENTUM FUEL TECHNOLOGIES",2024-04-01,12.5,44452.0,25.03333333333333,98497.66666666667,31.0,31.0,Black,,Black,regular
BEACON SALES AQUISITION INC DBA BEACON ROOFING SUPPLY INC,2025-02-01,12.4,13011.0,26.200000000000003,34170.666666666664,276.0,31.0,Black,,Black,regular
STEEL AND PIPE SUPPLY CO. INC dba METALS 2 GO,2024-04-01,12.4,12335.0,12.819999999999999,33060.4,152.0,31.0,Black,,Black,regular
KOERBER SUPPLY CHAIN LLC DBA SIEMENS PARCEL LOGISTICS L,2024-03-01,12.4,11976.0,28.7,48943.0,60.0,31.0,Black,,Black,regular
SPECIAL PRODUCTS & MFG INC,2023-12-01,12.2,31277.0,37.51666666666667,76280.0,30.0,31.0,Black,,Black,regular
HALO FABRICATION AND METALWORK,2024-10-01,12.1,10264.0,30.16666666666667,33699.0,30.0,31.0,Black,,Black,regular
FEHR'S,2024-10-01,12.0,20966.0,24.150000000000002,32411.166666666668,30.0,31.0,Black,,Black,regular
LUNN MOTORSPORTS,2024-07-01,12.0,11768.0,34.916666666666664,37638.833333333336,30.0,31.0,Black,,Black,regular
MORTON INDUSTRIES,2025-06-01,11.9,11823.0,28.36666666666667,34399.166666666664,31.0,31.0,Black,,Black,regular
NIC GLOBAL MANUFACTURING SOLUT,2024-07-01,11.8,63900.0,36.8,133016.0,30.0,31.0,Black,,Black,regular
CUSTOM MFG CO,2024-07-01,11.799999999999999,14021.0,23.566666666666663,28813.0,30.0,31.0,Black,,Black,regular
NIC GLOBAL MANUFACTURING SOLUT,2024-12-01,11.7,34426.0,21.0,77434.5,30.0,31.0,Black,,Black,regular
"NATURAL GAS FUEL SYSTEMS, INC  MOMENTUM FUEL TECHNOLOGIES",2024-06-01,11.7,17398.0,13.616666666666665,49645.166666666664,31.0,31.0,Black,,Black,regular
FEHR'S,2023-09-01,11.7,17020.0,28.0,43952.25,31.0,31.0,Black,,Black,regular
SCOOR HOLDINGS LLC,2023-07-01,11.7,11757.0,26.85,32852.0,30.0,31.0,Black,,Black,regular
METAL SPECIALTIES INC,2025-04-01,11.5,39055.0,25.216666666666665,51198.166666666664,31.0,31.0,Black,,Black,regular
CUSTOM MFG CO,2024-05-01,11.3,16957.0,28.566666666666666,34791.833333333336,30.0,31.0,Black,,Black,regular
WRICO STAMPING CO OF TEXAS,2025-02-01,11.2,26708.0,27.75,47073.833333333336,31.0,31.0,Black,,Black,regular
UNIFIED SUPPLY AND SERVICES CO,2023-09-01,11.1,22180.0,23.85,39334.25,31.0,31.0,Black,,Black,regular
ULRICH HORSE BARNS LLC,2025-01-01,11.1,17040.0,5.933333333333334,8944.5,397.0,31.0,Black,,Black,regular
GO INDUSTRIES,2023-12-01,11.1,15109.0,25.316666666666666,30372.833333333332,30.0,31.0,Black,,Black,regular
EXM USA INC.,2024-03-01,11.1,14618.0,21.433333333333334,65675.0,29.0,31.0,Black,,Black,regular
MORTON INDUSTRIES,2023-12-01,11.0,15511.0,23.28333333333333,30914.333333333332,30.0,31.0,Black,,Black,regular
INNOVEX DOWNHOLE SOLUTIONS,2024-09-01,11.0,13294.0,23.0,28012.666666666668,31.0,31.0,Black,,Black,regular
METAL SPECIALTIES INC,2023-12-01,10.9,18774.0,31.633333333333336,85673.33333333333,30.0,31.0,Black,,Black,regular
TELECOM PRODUCTS INC,2023-12-01,10.899999999999999,21038.0,31.0,40861.333333333336,30.0,31.0,Black,,Black,regular
BEACON SALES AQUISITION INC DBA BEACON ROOFING SUPPLY INC,2025-06-01,10.8,13318.0,26.566666666666666,33600.833333333336,31.0,31.0,Black,,Black,regular
EDGE FABRICATION,2024-08-01,10.7,32641.0,26.483333333333334,54783.666666666664,31.0,31.0,Black,,Black,regular
HYPER-HEAD,2024-08-01,10.6,15028.0,22.916666666666668,23849.5,31.0,31.0,Black,,Black,regular
SCOTT MFG CO,2025-01-01,10.5,45622.0,21.933333333333334,47112.333333333336,31.0,31.0,Black,,Black,regular
SAGE OIL VAC,2024-08-01,10.4,10099.0,14.216666666666669,23542.666666666668,31.0,31.0,Black,,Black,regular
"TONGRUN INTERNATIONAL, LLC",2025-05-01,10.2,12750.0,61.75000000000001,73138.66666666667,30.0,31.0,Black,,Black,regular
FEHR'S,2024-11-01,10.2,11077.0,23.21666666666667,30451.5,31.0,31.0,Black,,Black,regular
VENT A HOOD CO,2025-03-01,10.1,90460.0,23.283333333333335,188266.33333333334,28.0,31.0,Black,,Black,regular
INNOVEX DOWNHOLE SOLUTIONS,2025-05-01,10.0,13453.0,21.233333333333334,26137.0,30.0,31.0,Black,,Black,regular
BULLOCH FABRICATING,2024-08-01,10.0,13107.0,33.0,49388.0,31.0,31.0,Black,,Black,regular
ABRASIVE BLAST SYSTEMS,2024-04-01,9.9,11779.0,20.26666666666667,22310.833333333332,31.0,31.0,Black,,Black,regular
HYPER-HEAD,2024-09-01,9.9,9120.0,17.583333333333332,18271.666666666668,31.0,31.0,Black,,Black,regular
"GLF INNOVATIONS,  LLC",2025-01-01,9.7,20562.0,31.983333333333334,37881.166666666664,31.0,31.0,Black,,Black,regular
SEND CUT SEND INC,2025-05-01,9.6,34567.0,24.674999999999997,54763.75,30.0,30.0,Black,,Black,regular
INNOVATIVE MACHINE & LASER LLC,2025-02-01,9.6,13523.0,21.516666666666666,47126.5,31.0,31.0,Black,,Black,regular
LONGHORN LOCKER CO LLC,2024-07-01,9.5,30571.0,23.899999999999995,45168.666666666664,30.0,31.0,Black,,Black,regular
SPECIAL PRODUCTS & MFG INC,2023-09-01,9.4,26511.0,44.025,85408.75,31.0,31.0,Black,,Black,regular
EXM USA INC.,2024-09-01,9.4,12305.0,15.383333333333335,45581.0,31.0,31.0,Black,,Black,regular
MORTON INDUSTRIES,2023-10-01,9.4,10624.0,25.119999999999997,34137.4,30.0,31.0,Black,,Black,regular
SAGE OIL VAC,2025-06-01,9.4,10259.0,19.916666666666668,31624.166666666668,31.0,31.0,Black,,Black,regular
MORTON INDUSTRIES,2023-11-01,9.399999999999999,11783.0,22.5,30411.666666666668,31.0,31.0,Black,,Black,regular
TEXAS HYDRAULICS INC,2024-07-01,9.0,32553.0,22.399999999999995,80196.5,30.0,31.0,Black,,Black,regular
LAMBERT'S ORNAMENTAL IRON,2024-03-01,9.0,15012.0,19.266666666666666,33386.333333333336,29.0,31.0,Black,,Black,regular
"AAA FABRICATION, LLC",2025-03-01,8.9,8573.0,42.324999999999996,45952.5,28.0,31.0,Black,,Black,regular
SCOTT MFG CO,2024-10-01,8.9,8431.0,12.15,34166.666666666664,30.0,31.0,Black,,Black,regular
LONGHORN LOCKER CO LLC,2024-06-01,8.8,14146.0,25.7,45839.333333333336,31.0,31.0,Black,,Black,regular
TELECOM PRODUCTS INC,2025-01-01,8.7,37597.0,25.133333333333336,38858.5,31.0,31.0,Black,,Black,regular
CUSTOM MFG CO,2023-09-01,8.7,14321.0,19.7,31272.5,31.0,31.0,Black,,Black,regular
ALECOM METAL WORKS INC,2024-12-01,8.6,23430.0,24.150000000000002,50105.666666666664,30.0,31.0,Black,,Black,regular
M & M PRECISION METAL FAB,2024-12-01,8.6,9350.0,16.483333333333334,19907.833333333332,30.0,31.0,Black,,Black,regular
WHIP INDUSTRIES,2025-03-01,8.6,9047.0,31.45,28514.666666666668,28.0,31.0,Black,,Black,regular
CARGO CRAFT OF TEXAS,2023-11-01,8.5,42723.0,17.783333333333335,90419.0,31.0,31.0,Black,,Black,regular
"GLF INNOVATIONS,  LLC",2025-03-01,8.5,21615.0,27.966666666666665,34004.333333333336,28.0,31.0,Black,,Black,regular
DYNAMIC LIFT LLC,2023-07-01,8.5,16712.0,16.35,37846.0,30.0,31.0,Black,,Black,regular
M & M PRECISION METAL FAB,2024-02-01,8.5,13161.0,23.46666666666667,32576.666666666668,31.0,31.0,Black,,Black,regular
GST MANUFACTURING LTD,2023-11-01,8.200000000000001,28365.0,14.133333333333333,59859.166666666664,31.0,31.0,Black,,Black,regular
NOVAE LLC LOOK TRAILERS,2024-08-01,8.2,42226.0,19.183333333333334,97253.83333333333,31.0,31.0,Black,,Black,regular
FEHR'S,2025-04-01,8.2,13643.0,19.46666666666667,23069.333333333332,31.0,31.0,Black,,Black,regular
BULLOCH FABRICATING,2024-11-01,8.2,10782.0,26.05,33265.5,31.0,31.0,Black,,Black,regular
GO INDUSTRIES,2024-10-01,8.2,8075.0,16.166666666666664,18520.833333333332,30.0,31.0,Black,,Black,regular
NOVAE LLC LOOK TRAILERS,2024-10-01,8.1,41239.0,19.183333333333334,98561.0,30.0,31.0,Black,,Black,regular
FEHR'S,2023-11-01,8.1,11735.0,29.316666666666666,44188.333333333336,31.0,31.0,Black,,Black,regular
FOREST RIVER INC,2024-11-01,8.0,44029.0,16.933333333333334,87937.83333333333,31.0,31.0,Black,,Black,regular
SUPREME CORP OF TEXAS DBA WABA,2025-06-01,8.0,9653.0,38.13333333333333,55829.166666666664,31.0,31.0,Black,,Black,regular
DAVIS METAL STAMPING INC,2025-02-01,8.0,7507.0,17.433333333333334,19627.666666666668,62.0,31.0,Black,,Black,regular
ABC SUPPLY CO DBA BRADCO SUPPL,2025-06-01,7.9,9795.0,13.083333333333334,19919.666666666668,31.0,31.0,Black,,Black,regular
